,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
0,HS1101000001,HH13110253,1,1,3,9,4,1,5,125.39999999999999,4,1,2,12,1,3,4,5,1,14787.63,11817.19,45,42000000
1,HS1101000002,HH14110053,1,1,2,2,4,3,5,99.0,3,1,2,20,1,3,4,3,3,15669.59,12839.33,55,66000000
2,HS1101000003,HH14110054,1,1,1,1,6,1,4,105.6,3,1,1,10,1,3,4,4,1,10811.384375,6819.264375,55,12000000
3,HS1101000004,HH14110055,1,1,2,1,6,3,3,158.39999999999998,3,1,1,15,1,3,4,4,1,9699.294732,8133.234732,45,25000000
5,HS1101000006,HH14110056,1,1,1,1,6,1,6,148.5,4,1,2,8,1,3,5,4,1,16089.62,12954.06,55,66000000
6,HS1101000007,HH14110057,1,1,1,1,5,2,3,62.699999999999996,3,1,1,10,1,3,4,3,1,11562.120322,8289.820322,55,54000000
7,HS1101000008,HH14110058,1,1,1,2,5,1,3,115.5,3,1,1,8,1,3,4,4,3,14162.99,10649.03,55,54000000
8,HS1102000001,HH13110255,1,1,2,2,5,2,4,99.0,2,1,1,10,1,3,4,4,3,15608.88,12057.08,55,42000000
9,HS1102000002,HH13110256,1,1,3,11,4,3,4,112.19999999999999,3,1,1,18,1,1,4,4,1,12356.08,9094.96,35,78000000
10,HS1102000003,HH11110023,1,1,1,1,5,1,2,122.1,4,1,2,5,1,3,4,3,5,12259.73,9418.29,67,54000000
11,HS1102000004,HH13110257,1,1,1,1,6,1,2,102.3,2,1,1,7,1,3,4,2,5,16839.22,14309.96,67,42000000
12,HS1102000005,HH13110258,1,1,1,1,5,1,1,79.19999999999999,4,1,2,6,1,3,4,6,3,10880.47,7478.31,55,25000000
14,HS1103000001,HH13110233,1,1,3,1,5,2,5,112.19999999999999,3,1,2,10,1,3,4,6,2,17831.134312,12679.734312,45,66000000
15,HS1103000002,HH11110020,1,1,1,2,4,2,3,82.5,3,1,2,8,1,1,4,1,5,8204.43,5058.55,67,12000000
17,HS1103000004,HH12110025,1,1,1,2,5,2,4,75.89999999999999,3,1,2,8,1,3,4,5,1,16488.71,10920.21,45,18000000
18,HS1103000005,HH11110021,1,1,1,1,5,2,4,125.39999999999999,4,1,2,6,1,1,4,5,1,8136.007293,4890.367293,55,54000000
19,HS1103000006,HH12110026,1,1,1,1,5,2,4,75.89999999999999,3,1,2,8,1,1,4,1,5,3343.429607,1814.349607,67,12000000
20,HS1103000007,HH11110022,1,1,1,1,5,2,3,59.4,2,1,1,8,1,1,4,3,3,8357.52,5548.76,67,25000000
21,HS1103000008,HH13110234,1,1,3,17,3,1,4,82.5,3,1,1,10,3,3,4,4,1,9882.4292814,469.35,45,42000000
22,HS1103000009,HH12110027,1,1,1,1,5,4,1,66.0,2,1,1,8,2,1,3,4,5,9871.26,0.0,67,54000000
23,HS1104000001,HH11110012,1,1,1,2,5,4,4,89.1,3,1,1,10,1,3,4,3,1,10239.368263,5870.568263,35,54000000
24,HS1104000002,HH11110013,1,1,1,1,5,4,4,85.8,3,1,1,8,1,3,4,3,5,9296.089663,6882.069663,67,12000000
25,HS1104000003,HH11110014,1,1,1,2,5,4,4,46.199999999999996,2,1,1,3,1,3,4,5,5,8548.341822,5599.401822,55,18000000
26,HS1104000004,HH13110171,1,1,1,2,5,2,4,85.8,3,1,1,10,1,3,4,3,1,14319.289554,10385.649554,35,42000000
27,HS1104000005,HH13110172,1,1,1,3,5,2,5,75.89999999999999,3,1,1,8,1,3,4,4,1,8565.5613855,5380.460477,45,42000000
28,HS1104000006,HH11110015,1,1,1,2,5,3,4,75.89999999999999,3,1,1,10,1,3,4,4,1,12080.63,9397.43,55,25000000
29,HS1104000007,HH12110009,1,1,1,1,5,1,4,59.4,2,1,1,7,1,3,4,1,1,8084.46,5507.04,35,42000000
30,HS1104000008,HH11110016,1,1,1,1,5,2,4,79.19999999999999,3,1,1,8,1,3,4,3,1,12624.18,9971.08,45,42000000
31,HS1104000009,HH12110010,1,1,1,2,5,1,1,92.39999999999999,4,1,1,10,1,3,4,4,5,6851.06485,4045.74485,55,12000000
32,HS1104000010,HH12110011,1,1,1,1,5,4,4,99.0,3,1,1,4,1,3,4,2,5,13120.9,10263.12,55,42000000
33,HS1104000011,HH11110017,1,1,1,1,5,2,4,92.39999999999999,3,1,2,10,1,1,4,1,2,6800.98,4902.1,45,18000000
34,HS1104000012,HH11110018,1,1,1,2,5,2,3,92.39999999999999,3,1,1,10,1,1,4,4,5,13017.58755,8831.96755,55,18000000
35,HS1104000013,HH13110173,1,1,3,2,3,4,5,79.19999999999999,3,1,1,8,1,3,4,3,1,10782.446891,7580.666891,55,54000000
36,HS1104000014,HH14110032,1,1,2,1,6,2,2,79.19999999999999,3,1,1,4,1,3,4,3,2,12552.32,10659.46,67,66000000
37,HS1104000015,HH13110174,1,1,1,2,4,2,4,75.89999999999999,3,1,1,16,1,3,4,3,1,12346.4,9971.08,45,42000000
38,HS1104000016,HH13110175,1,1,3,23,5,1,5,108.89999999999999,3,1,2,10,1,3,4,4,1,18127.45079,14400.21079,45,78000000
39,HS1105000001,HH13110055,1,1,3,18,2,3,5,112.19999999999999,3,1,2,14,1,3,4,4,1,13422.21931,10945.41931,55,96000000
40,HS1105000002,HH13110056,1,1,3,5,2,3,5,82.5,3,1,1,7,1,3,4,4,1,10218.81,7937.23,35,42000000
41,HS1105000003,HH13110057,1,1,1,2,5,2,3,66.0,3,1,1,8,1,3,4,5,1,10583.666333,7987.326333,45,42000000
42,HS1105000004,HH13110058,1,1,3,10,2,3,5,108.89999999999999,3,1,2,12,1,3,4,4,1,4337.9367032,1545.5167032,45,66000000
43,HS1105000005,HH13110059,1,1,1,1,5,1,5,79.19999999999999,2,1,1,8,1,1,4,3,1,8228.68,7113.26,45,66000000
44,HS1105000006,HH13110060,1,1,3,3,2,1,4,72.6,2,1,1,10,1,3,4,4,3,6565.502151,4285.642151,45,78000000
45,HS1105000007,HH13110061,1,1,3,7,4,1,5,105.6,3,1,2,12,1,3,4,3,1,13008.474339,10124.894339,35,42000000
46,HS1105000008,HH13110062,1,1,3,19,5,1,4,122.1,3,1,2,10,1,1,4,4,1,14842.31,12109.23,45,66000000
47,HS1105000009,HH11110002,1,1,1,1,5,1,1,85.8,3,1,2,8,2,1,3,1,1,10384.63,0.0,35,18000000
48,HS1105000010,HH11110003,1,1,1,2,5,1,1,79.19999999999999,3,1,2,8,2,3,3,5,3,9175.32,0.0,45,42000000
49,HS1105000011,HH11110004,1,1,1,1,5,3,2,72.6,3,1,2,10,2,3,3,1,1,13253.23,0.0,45,25000000
50,HS1105000012,HH11110005,1,1,1,1,5,3,1,42.9,1,1,1,2,2,3,3,2,1,10534.85,0.0,35,42000000
51,HS1105000013,HH11110006,1,1,1,1,5,3,1,42.9,2,1,1,3,2,3,3,5,1,20073.85,0.0,35,25000000
52,HS1106000001,HH13110105,1,1,3,14,4,2,6,95.69999999999999,3,1,2,16,1,3,4,4,1,10612.975235,7330.355235,35,54000000
53,HS1106000002,HH13110106,1,1,3,7,2,1,5,108.89999999999999,3,1,2,12,1,3,4,3,1,14822.23,10857.63,55,54000000
54,HS1106000003,HH13110107,1,1,3,25,2,1,5,49.5,2,1,1,7,1,3,4,4,1,4885.697622,2940.377622,45,42000000
55,HS1106000004,HH13110108,1,1,3,3,4,1,5,108.89999999999999,3,1,2,10,1,3,4,4,1,9945.359032,8133.339032,45,42000000
56,HS1106000005,HH13110109,1,1,2,1,5,1,3,49.5,2,1,1,3,1,1,4,1,5,3207.1556405,2409.33,67,12000000
57,HS1106000006,HH13110110,1,1,3,10,2,1,4,75.89999999999999,3,1,1,10,1,3,4,4,1,10776.879416,7361.819416,45,54000000
58,HS1106000007,HH13110111,1,1,3,3,4,2,5,105.6,3,1,2,10,1,3,4,3,1,8764.031529,5151.171529,35,54000000
59,HS1106000008,HH13110112,1,1,2,2,4,4,4,66.0,2,1,1,6,1,3,4,4,1,11257.235034,9165.715034,45,18000000
60,HS1106000009,HH13110113,1,1,3,6,2,3,5,102.3,3,1,2,10,1,3,4,3,1,11121.29,8458.73,35,42000000
61,HS1106000010,HH13110114,1,1,1,5,5,3,4,79.19999999999999,3,1,1,10,1,3,4,4,3,15460.202766,13117.562766,45,78000000
62,HS1106000011,HH13110115,1,1,3,11,3,1,5,141.9,4,1,2,22,1,3,4,6,1,26255.168221,22577.808221,45,66000000
63,HS1106000012,HH15110007,1,1,3,11,4,2,5,79.19999999999999,3,1,1,6,1,3,4,4,1,18948.824515,15937.964515,55,54000000
64,HS1106000013,HH13110116,1,1,3,3,4,3,6,108.89999999999999,3,1,2,10,1,1,4,3,1,14153.236347,11297.176347,45,42000000
65,HS1106000014,HH13110117,1,1,3,11,4,4,5,82.5,3,1,1,10,1,3,4,4,1,18933.455991,16609.735991,55,78000000
66,HS1106000015,HH13110118,1,1,3,14,4,1,5,108.89999999999999,3,1,2,12,1,3,4,4,4,9577.26,6633.48,45,42000000
67,HS1106000016,HH13110119,1,1,3,16,3,1,5,79.19999999999999,2,1,1,8,1,3,4,3,1,14793.852481,11718.492481,45,42000000
68,HS1106000017,HH13110120,1,1,3,8,2,1,5,151.79999999999998,4,1,2,18,1,1,4,4,1,13832.349005,10281.409005,45,25000000
69,HS1106000018,HH13110121,1,1,3,20,3,1,5,145.2,4,1,2,20,1,1,4,2,3,5229.772196,1011.472196,67,54000000
70,HS1106000019,HH13110122,1,1,1,1,5,2,3,148.5,4,1,2,11,1,3,4,4,1,11775.88,9449.58,45,54000000
71,HS1106000020,HH12110008,1,1,2,2,4,2,1,39.599999999999994,2,0,1,6,5,3,3,3,2,17157.35,0.0,67,18000000
72,HS1107000001,HH13110260,1,1,3,3,3,3,5,102.3,3,1,2,10,1,3,4,4,1,12413.67,8521.31,45,66000000
73,HS1107000002,HH13110261,1,1,3,2,4,3,5,72.6,3,1,2,6,1,3,4,5,1,12100.175343,8206.306269,35,54000000
74,HS1107000003,HH13110262,1,1,1,1,5,1,2,99.0,3,1,1,8,1,3,5,4,5,9502.34,7113.26,55,42000000
75,HS1107000004,HH13110263,1,1,1,1,6,1,2,56.099999999999994,2,1,1,6,1,3,4,4,1,4948.0277316,1999.9477316,35,25000000
76,HS1107000005,HH12110028,1,1,2,2,3,4,5,56.099999999999994,2,1,1,7,1,3,4,3,5,11613.407001,8519.127001,55,25000000
77,HS1107000006,HH12110029,1,1,2,2,4,4,5,89.1,2,1,1,8,1,3,4,4,5,12730.48,10346.56,55,25000000
78,HS1107000007,HH12110030,1,1,1,2,3,4,5,69.3,2,1,1,8,1,3,4,4,5,6919.078766,4723.498766,67,18000000
79,HS1107000008,HH13110264,1,1,3,15,2,1,6,108.89999999999999,3,1,2,14,1,1,4,3,1,14213.31,11587.73,35,54000000
80,HS1107000009,HH13110265,1,1,3,5,2,1,4,105.6,3,1,2,12,1,3,4,4,3,11279.59,7812.07,35,66000000
81,HS1108000001,HH12110012,1,1,1,1,5,3,1,125.39999999999999,4,1,2,6,2,3,3,1,1,16843.85,0.0,67,42000000
82,HS1108000002,HH13110176,1,1,1,1,6,3,6,132.0,3,1,2,8,1,1,4,4,2,17913.275025,12317.83,67,42000000
83,HS1108000003,HH13110177,1,1,3,6,2,2,4,79.19999999999999,3,1,1,8,1,3,4,3,3,5554.117082,3263.937082,35,54000000
84,HS1108000004,HH13110178,1,1,3,20,5,2,5,108.89999999999999,3,1,2,14,1,3,4,3,3,13547.09,10961.93,45,66000000
85,HS1108000005,HH12110013,1,1,1,1,4,3,3,79.19999999999999,2,1,1,8,1,3,4,3,5,11979.571109,8341.771109,67,18000000
86,HS1108000006,HH14110033,1,1,2,1,3,1,4,36.3,2,1,1,4,1,1,4,3,1,11758.49,9105.39,45,25000000
87,HS1108000007,HH13110179,1,1,2,2,5,3,5,52.8,2,0,1,6,1,3,4,3,3,16354.452382,15088.532382,55,42000000
88,HS1108000008,HH13110180,1,1,1,2,4,1,5,69.3,2,1,1,14,1,1,4,4,3,4797.42506,2617.32506,55,54000000
89,HS1108000009,HH12110014,1,1,1,2,4,1,1,56.099999999999994,2,1,1,5,1,1,4,2,5,8092.244347,5390.984347,67,12000000
90,HS1108000010,HH12110015,1,1,1,1,5,2,2,75.89999999999999,4,1,1,6,1,3,4,5,1,15393.244641,11355.544641,35,25000000
91,HS1108000011,HH12110016,1,1,1,1,5,2,2,42.9,2,1,1,3,1,1,4,5,1,11431.52,9741.62,55,54000000
92,HS1108000012,HH16110013,1,1,3,9,3,2,5,108.89999999999999,3,1,2,5,1,2,4,2,4,8193.036982,5005.016982,67,25000000
93,HS1108000013,HH14110034,1,1,3,7,5,3,3,59.4,2,1,1,8,1,1,4,1,2,4515.31549,2450.45549,55,18000000
94,HS1108000014,HH13110181,1,1,3,1,5,2,4,105.6,3,1,2,12,1,3,4,3,1,20515.01,17178.21,45,42000000
95,HS1108000015,HH13110182,1,1,2,3,5,3,4,56.099999999999994,2,1,1,4,1,3,4,4,3,13790.68,10492.58,55,25000000
96,HS1108000016,HH13110183,1,1,1,1,6,2,5,178.2,3,1,2,14,1,3,4,4,3,15962.199097,12502.419097,45,90000000
97,HS1108000017,HH13110184,1,1,2,2,5,2,4,85.8,3,1,1,6,1,3,4,4,1,15463.305639,14327.245639,35,25000000
98,HS1108000018,HH13110185,1,1,2,2,5,2,3,66.0,2,1,1,10,1,2,3,2,3,7441.9275621,0.0,67,18000000
99,HS1108000019,HH13110186,1,1,2,3,5,2,4,59.4,2,1,1,7,1,3,4,3,1,6503.77,4119.85,35,42000000
100,HS1108000020,HH13110187,1,1,2,1,5,2,4,39.599999999999994,2,1,1,6,1,1,4,1,3,15885.384759,15088.532382,35,25000000
101,HS1108000021,HH13110188,1,1,1,1,6,1,3,66.0,2,1,1,12,2,3,3,4,1,10622.7,0.0,55,54000000
102,HS1108000022,HH13110189,1,1,2,1,5,1,5,59.4,2,1,1,8,1,3,4,4,1,9688.56,7238.42,45,78000000
103,HS1108000023,HH13110190,1,1,2,1,5,3,4,92.39999999999999,3,1,2,10,1,3,5,4,3,13568.33,9877.21,45,25000000
105,HS1108000025,HH13110192,1,1,1,1,5,2,4,112.19999999999999,3,1,1,10,1,3,4,4,3,13645.21,10398.71,35,66000000
106,HS1108000026,HH13110193,1,1,1,2,5,4,3,82.5,3,1,1,12,1,3,4,4,3,14344.425115,11149.67,45,66000000
107,HS1108000027,HH13110194,1,1,3,5,4,2,5,141.9,3,1,2,11,1,3,5,4,1,12661.99,8500.45,55,54000000
108,HS1108000028,HH15110008,1,1,3,2,4,3,4,82.5,3,1,1,8,1,1,4,3,1,25514.32153,22493.14153,55,42000000
109,HS1108000029,HH13110195,1,1,3,15,2,2,5,82.5,3,1,1,10,1,3,4,2,1,2467.6414379,800.96143788,35,78000000
110,HS1108000030,HH13110196,1,1,2,2,4,1,4,105.6,3,1,1,10,1,3,3,5,1,9587.52,0.0,55,54000000
111,HS1108000031,HH14110035,1,1,1,1,6,4,1,39.599999999999994,2,0,1,6,5,1,3,1,5,28670.31,0.0,67,12000000
112,HS1108000032,HH14110036,1,1,1,1,6,3,1,56.099999999999994,2,1,1,6,5,1,3,1,5,12233.02,0.0,67,12000000
113,HS1108000033,HH14110037,1,1,1,1,6,4,1,85.8,3,0,1,6,2,1,3,1,5,13461.62,0.0,67,12000000
114,HS1108000034,HH14110038,1,1,1,1,6,4,1,52.8,2,1,1,8,5,1,3,2,5,29289.41,0.0,67,18000000
115,HS1108000035,HH14110039,1,1,1,1,6,4,1,59.4,3,1,1,8,5,1,3,2,2,18951.99,0.0,67,12000000
116,HS1108000036,HH14110040,1,1,1,1,6,4,1,132.0,3,1,1,6,5,3,3,3,1,21661.6,0.0,55,42000000
117,HS1108000037,HH14110041,1,1,1,1,6,3,1,132.0,3,1,1,8,5,1,3,4,2,24900.58,0.0,67,25000000
118,HS1108000038,HH13110197,1,1,2,2,5,2,4,75.89999999999999,3,1,1,10,1,1,4,5,3,13287.25,11358.27,45,54000000
119,HS1108000039,HH13110198,1,1,3,11,4,2,5,79.19999999999999,3,1,2,8,1,1,4,3,1,13883.346471,11480.506471,35,42000000
120,HS1108000040,HH13110199,1,1,3,4,3,2,5,108.89999999999999,3,1,2,10,1,3,4,4,3,11024.97,8458.73,45,96000000
121,HS1108000041,HH13110200,1,1,3,11,2,2,5,102.3,3,1,2,20,1,3,4,4,1,10758.4,8135.4,35,66000000
122,HS1109000001,HH13110030,1,1,3,13,4,3,6,145.2,4,1,2,16,1,3,4,4,1,17637.46,13183.52,55,25000000
123,HS1109000002,HH13110031,1,1,1,1,6,2,3,39.599999999999994,2,1,1,4,1,3,4,2,1,14513.87,10649.03,55,54000000
124,HS1109000003,HH14110001,1,1,3,2,2,3,5,102.3,3,1,2,14,1,3,4,4,1,16405.13,14737.59,45,42000000
126,HS1109000005,HH13110033,1,1,2,4,5,4,3,92.39999999999999,3,1,1,8,1,3,4,4,1,13148.25,9105.39,55,54000000
127,HS1109000006,HH14110002,1,1,2,3,5,2,4,85.8,3,1,1,7,1,3,4,4,3,11985.12,8740.34,45,42000000
128,HS1109000007,HH14110003,1,1,2,2,5,4,4,82.5,3,1,1,12,1,3,4,3,1,6832.98,3859.1,55,54000000
129,HS1110000001,HH14110021,1,1,3,10,3,2,5,92.39999999999999,3,1,2,7,1,3,4,3,3,14155.42,10909.78,55,54000000
130,HS1110000002,HH14110022,1,1,2,4,4,1,6,99.0,3,1,2,10,1,3,4,2,1,10963.720092,8210.8600925,35,25000000
131,HS1110000003,HH13110102,1,1,3,6,4,1,5,92.39999999999999,3,1,1,8,1,3,4,4,1,10606.4,8156.26,35,78000000
132,HS1110000004,HH13110103,1,1,3,3,2,2,4,56.099999999999994,2,1,1,4,3,3,4,4,3,9490.4237006,615.37,35,42000000
133,HS1110000005,HH13110104,1,1,3,13,4,1,5,108.89999999999999,3,1,2,10,3,1,4,3,3,12540.468814,417.2,55,54000000
134,HS1110000006,HH14110023,1,1,3,13,2,1,4,59.4,2,1,1,10,1,1,4,4,1,10315.67,7499.17,67,66000000
135,HS1110000007,HH14110024,1,1,3,15,5,1,4,59.4,2,1,1,3,1,1,4,3,1,8867.92,6404.02,67,42000000
136,HS1110000008,HH16110009,1,1,2,4,4,2,4,85.8,3,1,1,8,1,3,4,3,1,6256.96,2816.1,55,54000000
137,HS1111000001,HH13110083,1,1,3,18,4,2,4,125.39999999999999,4,1,2,22,1,3,4,3,1,11018.48,7843.36,55,78000000
138,HS1111000002,HH13110084,1,1,1,3,5,1,4,115.5,3,1,2,12,1,3,4,4,1,9353.66,6633.48,55,66000000
139,HS1111000003,HH13110085,1,1,3,5,2,1,4,82.5,3,1,1,7,1,1,4,1,5,9639.45,7311.43,55,18000000
140,HS1111000004,HH13110086,1,1,3,13,2,2,4,82.5,3,1,1,10,1,1,4,4,1,8724.38,4943.82,55,54000000
141,HS1111000005,HH13110087,1,1,3,9,4,1,4,138.6,3,1,2,12,1,3,4,5,1,12339.79,8855.07,67,54000000
142,HS1111000006,HH13110088,1,1,3,6,3,1,5,118.8,3,1,2,10,1,3,4,4,1,22813.59,19931.73,55,90000000
143,HS1111000007,HH13110089,1,1,3,6,2,1,4,118.8,3,1,2,10,1,3,4,4,3,8214.82,5799.08,55,42000000
144,HS1111000008,HH13110090,1,1,3,13,2,1,5,108.89999999999999,3,1,2,14,3,3,4,4,1,8456.857497,907.41,45,66000000
145,HS1111000009,HH13110091,1,1,3,14,2,1,4,85.8,2,1,1,8,3,1,4,6,1,6582.8179281,907.41,45,78000000
146,HS1111000010,HH13110092,1,1,3,15,5,1,5,79.19999999999999,2,1,1,6,3,3,4,4,1,6469.359018,604.94,45,25000000
147,HS1111000011,HH15110006,1,1,3,5,2,1,3,42.9,1,1,1,12,3,1,4,1,1,4356.9438657,767.62187767,55,18000000
148,HS1111000012,HH13110093,1,1,3,5,3,2,4,85.8,2,1,1,7,3,3,4,3,1,11998.459545,229.46,35,25000000
149,HS1111000013,HH12110007,1,1,3,2,4,4,2,59.4,2,1,1,7,5,3,3,1,1,18667.88,0.0,67,25000000
150,HS1111000014,HH13110094,1,1,3,17,4,3,5,108.89999999999999,3,1,2,14,1,3,4,4,3,17278.97,14174.37,67,96000000
151,HS1111000015,HH13110095,1,1,3,7,2,2,5,155.1,4,1,2,18,1,3,4,4,1,11177.62,8010.24,45,90000000
152,HS1111000016,HH13110096,1,1,3,13,3,1,5,69.3,2,1,1,6,3,1,4,3,1,15700.309844,1606.22,35,42000000
153,HS1111000017,HH13110097,1,1,3,4,2,3,4,69.3,3,1,1,8,3,1,4,4,1,6492.2867042,1927.8467042,55,54000000
154,HS1111000018,HH13110098,1,1,3,7,2,3,4,82.5,3,1,1,8,3,1,4,3,1,9919.5580838,792.68,45,66000000
155,HS1111000019,HH13110099,1,1,3,9,4,3,5,108.89999999999999,3,1,2,18,1,3,4,4,4,8716.57,5997.25,67,78000000
156,HS1111000020,HH16110008,1,1,3,6,3,1,4,59.4,2,1,1,3,1,3,4,1,5,3228.77,928.27,67,18000000
157,HS1111000021,HH14110007,1,1,3,1,5,3,4,72.6,2,1,1,3,3,1,4,4,1,4456.7560376,1671.6760376,55,42000000
158,HS1111000022,HH14110008,1,1,3,2,5,3,3,39.599999999999994,1,0,1,1,2,1,3,1,5,9910.3,0.0,67,12000000
159,HS1111000023,HH14110009,1,1,2,1,4,4,3,39.599999999999994,2,0,1,0,2,1,3,2,2,11281.46,0.0,67,12000000
160,HS1111000024,HH14110010,1,1,1,1,6,1,1,26.4,2,0,1,1,5,1,3,1,5,22424.33,0.0,67,12000000
161,HS1111000025,HH14110011,1,1,1,1,5,1,3,39.599999999999994,2,0,1,0,5,1,3,2,5,14133.45,0.0,67,12000000
162,HS1111000026,HH14110012,1,1,1,1,5,3,3,33.0,2,0,1,0,5,1,3,2,2,13829.46,0.0,67,12000000
163,HS1111000027,HH14110013,1,1,1,1,6,3,1,33.0,2,0,1,2,1,1,3,2,2,4746.72,0.0,67,18000000
164,HS1111000028,HH14110014,1,1,1,1,6,1,1,39.599999999999994,2,0,1,2,5,1,3,1,5,18827.49,0.0,67,12000000
165,HS1111000029,HH14110015,1,1,1,1,6,1,1,33.0,2,0,1,1,5,1,3,1,5,23122.51,0.0,67,12000000
166,HS1111000030,HH14110016,1,1,1,1,6,1,1,29.7,2,0,1,2,5,1,3,1,5,25911.6,0.0,67,12000000
167,HS1111000031,HH14110017,1,1,1,1,6,3,1,36.3,2,0,1,2,5,1,3,2,2,27839.78,0.0,67,18000000
168,HS1111000032,HH14110018,1,1,1,1,6,3,1,36.3,2,0,1,2,5,1,3,2,2,18101.18,0.0,67,18000000
169,HS1111000033,HH14110019,1,1,1,1,6,3,3,29.7,1,0,1,1,2,1,3,1,5,11367.42,0.0,67,12000000
170,HS1111000034,HH14110020,1,1,1,1,5,3,3,39.599999999999994,2,0,1,1,5,1,3,2,5,17446.84,0.0,67,12000000
171,HS1111000035,HH13110100,1,1,3,3,3,3,5,102.3,3,1,1,16,1,3,4,4,4,11158.34,8302.28,67,78000000
172,HS1111000036,HH13110101,1,1,3,15,2,1,4,105.6,3,1,2,12,3,1,4,4,1,4081.0168383,959.56,45,54000000
173,HS1112000001,HH13110235,1,1,2,1,5,2,4,42.9,2,1,1,5,1,3,4,4,3,10658.48,7467.88,45,42000000
174,HS1112000002,HH14110045,1,1,1,1,6,3,2,118.8,4,1,1,6,1,3,4,3,3,18020.26,14497.7,35,66000000
175,HS1112000003,HH14110046,1,1,2,1,6,2,4,99.0,3,1,2,5,1,3,4,4,3,18713.093971,15777.053971,55,54000000
177,HS1112000005,HH13110237,1,1,2,2,3,2,5,89.1,3,1,2,8,1,3,4,4,3,11931.31,8938.51,55,42000000
178,HS1112000006,HH13110238,1,1,1,2,4,1,4,99.0,3,1,1,15,1,1,4,4,1,5212.601666,3774.681666,45,42000000
179,HS1112000007,HH13110239,1,1,2,1,6,4,6,132.0,3,1,2,10,1,3,4,4,1,11856.637017,9186.409197,45,66000000
180,HS1112000008,HH14110047,1,1,1,1,6,2,3,118.8,3,1,1,4,1,3,4,5,1,15129.911355,12713.311355,45,25000000
181,HS1112000009,HH13110240,1,1,2,5,5,1,6,99.0,3,1,1,4,1,3,4,4,1,6609.1221557,3420.234804,35,54000000
182,HS1112000010,HH13110241,1,1,3,3,4,4,4,79.19999999999999,3,1,2,6,1,3,4,5,3,9117.512792,6339.712792,45,96000000
183,HS1112000011,HH14110048,1,1,2,1,6,1,3,82.5,3,1,1,16,1,3,4,4,1,12789.32551,9885.10551,45,42000000
184,HS1112000012,HH13110242,1,1,1,1,5,3,5,59.4,2,1,1,4,1,3,4,4,1,9031.530084,7090.510084,45,54000000
185,HS1112000013,HH13110243,1,1,2,2,2,1,5,125.39999999999999,3,1,2,6,1,3,4,4,1,14513.62,11848.48,45,42000000
186,HS1112000014,HH13110244,1,1,3,3,4,2,5,145.2,4,1,2,20,1,3,4,5,3,7956.889516,4108.389516,55,54000000
187,HS1112000015,HH13110245,1,1,2,3,3,2,5,59.4,2,1,1,4,1,3,4,2,1,14004.187267,11198.867267,35,25000000
188,HS1112000016,HH14110049,1,1,2,1,6,2,5,99.0,3,1,2,6,1,1,4,4,4,6063.8719167,3339.3919167,45,42000000
189,HS1112000017,HH14110050,1,1,3,19,2,4,4,75.89999999999999,3,1,1,4,1,2,4,4,1,18644.781762,14737.801762,35,66000000
190,HS1112000018,HH14110051,1,1,3,2,4,4,4,108.89999999999999,3,1,2,10,1,1,4,4,1,26473.03,23206.75,45,66000000
191,HS1112000019,HH14110052,1,1,1,3,4,3,5,92.39999999999999,3,1,1,8,1,1,4,4,1,11252.88,8051.96,35,66000000
192,HS1112000020,HH13110246,1,1,3,7,2,1,4,82.5,2,1,1,8,1,1,4,2,1,7165.3547058,5611.34,35,42000000
193,HS1112000021,HH13110247,1,1,1,1,5,1,3,92.39999999999999,3,1,1,10,1,3,4,3,5,7798.29,5037.69,67,18000000
194,HS1112000022,HH13110248,1,1,1,1,5,2,4,82.5,3,1,1,8,1,3,4,3,3,9866.6,8218.84,67,54000000
195,HS1112000023,HH13110249,1,1,3,2,2,2,5,79.19999999999999,3,1,2,15,3,1,4,4,1,10198.100036,636.23,35,54000000
196,HS1112000024,HH13110250,1,1,3,15,5,2,5,112.19999999999999,3,1,2,11,3,3,4,3,1,11332.66478,542.223367,45,66000000
197,HS1112000025,HH13110251,1,1,3,4,3,1,5,112.19999999999999,3,1,2,16,3,3,4,4,1,3676.55,490.21,45,66000000
198,HS1112000026,HH13110252,1,1,3,2,2,1,4,108.89999999999999,3,1,2,10,3,3,4,4,1,7828.4149328,740.355819,45,66000000
199,HS1113000001,HH14110030,1,1,3,3,4,3,5,79.19999999999999,3,1,1,4,1,3,4,5,1,14769.43,11233.11,55,42000000
200,HS1113000002,HH13110144,1,1,1,2,5,1,3,49.5,2,1,1,5,1,3,4,4,1,13810.613708,11845.513708,35,54000000
201,HS1113000003,HH13110145,1,1,1,1,6,2,3,66.0,2,1,1,8,1,3,4,5,1,12231.747367,8685.967367,45,54000000
202,HS1113000004,HH13110146,1,1,3,3,3,2,6,95.69999999999999,3,1,2,18,1,3,4,4,1,24813.66,21861.28,45,66000000
204,HS1113000006,HH13110148,1,1,2,3,5,3,3,49.5,2,1,1,3,1,3,4,5,1,8701.81,6310.15,45,54000000
205,HS1113000007,HH13110149,1,1,1,2,3,2,3,59.4,2,1,1,3,1,3,4,3,1,12351.315077,9971.08,55,25000000
